,yield_spread,yield_spread_3m_avg,yield_inverted,unrate,unrate_mom,unrate_3m_avg,unrate_yoy,icsa,icsa_3m_avg,icsa_yoy_pct,indpro_mom_pct,indpro_yoy_pct,umcsent,umcsent_yoy,credit_spread,credit_spread_3m_avg,credit_spread_mom,payems_mom,payems_3m_avg,USREC
2000-12-31,-0.1115,-0.14780158730158716,1,3.9,0.0,3.9,-0.10000000000000009,346000.0,327083.3333333333,24.236983842010762,-0.3263035410896342,0.7397718173229428,98.4,-7.0,2.7825,2.6490873015873015,0.2205952380952385,160.0,126.33333333333333,0.0
2001-01-31,0.4009523809523809,0.04378571428571441,0,4.2,0.30000000000000027,4.0,0.20000000000000018,340000.0,340083.3333333333,17.89181692094313,-0.4759506830623206,0.3976490637767949,94.7,-17.299999999999997,2.767619047619048,2.704007936507937,-0.014880952380952106,-13.0,117.0,0.0
2001-02-28,0.4421052631578948,0.2438525480367587,0,4.2,0.0,4.1000000000000005,0.10000000000000053,371250.0,352416.6666666667,26.38297872340425,-0.6513459989989423,-0.5668458865284554,90.6,-20.700000000000003,2.774736842105263,2.774951963241437,0.007117794486215079,85.0,77.33333333333333,0.0
2001-03-31,0.5431818181818181,0.46207982076403137,0,4.3,0.09999999999999964,4.233333333333333,0.2999999999999998,387200.0,366150.0,40.92811646951775,-0.20503069984249,-1.122295725249156,91.5,-15.599999999999994,2.958636363636364,2.833664084453558,0.18389952153110078,-37.0,11.666666666666666,0.0
2001-04-30,0.907,0.6307623604465711,0,4.4,0.10000000000000053,4.3,0.6000000000000005,396750.0,385066.6666666667,46.078792341678934,-0.3589921440973143,-2.0602186217959284,88.4,-20.799999999999997,2.9275,2.886957735247209,-0.03113636363636374,-293.0,-81.66666666666667,1.0
2001-05-31,1.1313636363636363,0.8605151515151516,0,4.3,-0.10000000000000053,4.333333333333333,0.2999999999999998,394500.0,392816.6666666667,39.769707705934465,-0.47759037153137784,-2.791181055600911,92.0,-18.700000000000003,2.680454545454545,2.855530303030303,-0.247045454545455,-50.0,-126.66666666666667,1.0
2001-06-30,1.2042857142857142,1.080883116883117,0,4.5,0.20000000000000018,4.3999999999999995,0.5,397200.0,396150.0,36.49484536082475,-0.5280254107386972,-3.3422163718917375,92.6,-13.800000000000011,2.6904761904761907,2.766143578643579,0.010021645021645487,-108.0,-150.33333333333334,1.0
2001-07-31,1.1976190476190476,1.1777561327561328,0,4.6,0.09999999999999964,4.466666666666666,0.5999999999999996,398000.0,396566.6666666667,34.91525423728814,-0.6404208352618568,-3.773511714911293,92.4,-15.899999999999991,2.733809523809524,2.701580086580087,0.043333333333333446,-128.0,-95.33333333333333,1.0
2001-08-31,1.2139130434782608,1.2052726017943411,0,4.9,0.3000000000000007,4.666666666666667,0.8000000000000007,398000.0,397733.3333333333,27.258193445243805,-0.11477803607502501,-3.6215277665228585,91.5,-15.799999999999997,2.8773913043478263,2.767225672877847,0.14358178053830217,-151.0,-129.0,1.0
2001-09-30,1.6129411764705883,1.341491089189299,0,5.0,0.09999999999999964,4.833333333333333,1.1,435000.0,410333.3333333333,44.903397734843445,-0.5065005386753141,-4.55015745457048,81.8,-25.0,3.2958823529411765,2.969027727032842,0.4184910485933502,-258.0,-179.0,1.0
2001-10-31,1.8409090909090908,1.5559211036193135,0,5.3,0.2999999999999998,5.066666666666667,1.4,480750.0,437916.6666666667,59.717607973421934,-0.27414547851513094,-4.440502321905382,82.7,-23.099999999999994,3.3400000000000003,3.171091219096334,0.04411764705882382,-311.0,-240.0,1.0
2001-11-30,1.869,1.7742834224598931,0,5.5,0.20000000000000018,5.266666666666667,1.6,447500.0,454416.6666666667,33.88182498130141,-0.6047102317151998,-5.044913960783126,83.9,-23.69999999999999,3.1615,3.2657941176470593,-0.1785000000000001,-308.0,-292.3333333333333,1.0
2001-12-31,1.9805,1.8968030303030303,0,5.7,0.20000000000000018,5.5,1.8000000000000003,416800.0,448350.0,20.462427745664733,-0.04274184381038992,-4.774776238202749,88.8,-9.600000000000009,2.9657894736842105,3.155763157894737,-0.19571052631578967,-161.0,-260.0,0.0
2002-01-31,2.0076190476190474,1.9523730158730157,0,5.7,0.0,5.633333333333333,1.5,408500.0,424266.6666666667,20.147058823529406,0.6655112336294788,-3.682618441383212,93.0,-1.7000000000000028,2.833809523809524,2.9870329991645783,-0.13197994987468675,-124.0,-197.66666666666666,0.0
2002-02-28,1.896315789473684,1.9614782790309107,0,5.7,0.0,5.7,1.5,399000.0,408100.0,7.4747474747474785,0.011523132122870372,-3.0399744149724905,90.7,0.10000000000000853,2.978947368421053,2.9261821219715958,0.14513784461152923,-122.0,-135.66666666666666,0.0
2002-03-31,1.7265,1.876811612364244,0,5.7,0.0,5.7,1.4000000000000004,415400.0,407633.3333333333,7.28305785123966,0.7238404207491778,-2.1374903694403535,95.7,4.200000000000003,2.822,2.8782522974101923,-0.15694736842105295,-15.0,-87.0,0.0
2002-04-30,1.7881818181818183,1.803665869218501,0,5.9,0.20000000000000018,5.766666666666667,1.5,429250.0,414550.0,8.191556395715182,0.48828847823112476,-1.3053329089064758,93.0,4.599999999999994,2.821818181818182,2.8742551834130783,-0.0001818181818182829,-106.0,-81.0,0.0
2002-05-31,1.9004545454545456,1.8050454545454546,0,5.8,-0.10000000000000053,5.800000000000001,1.5,409000.0,417883.3333333333,3.675538656527255,0.4017677782241824,-0.43328851038398897,96.9,4.900000000000006,2.9231818181818183,2.8556666666666666,0.10136363636363654,16.0,-35.0,0.0
2002-06-30,1.9335,1.874045454545455,0,5.8,0.0,5.833333333333333,1.2999999999999998,387200.0,408483.3333333333,-2.5176233635448186,0.8248855097594765,0.920910919642548,92.4,-0.19999999999998863,3.0235,2.922833333333333,0.10031818181818153,42.0,-16.0,0.0
2002-07-31,2.096363636363636,1.9767727272727276,0,5.8,0.0,5.8,1.2000000000000002,386000.0,394066.6666666667,-3.015075376884424,-0.032191881251653065,1.5386975548359105,88.1,-4.300000000000011,3.244545454545454,3.063742424242424,0.22104545454545432,-90.0,-10.666666666666666,0.0
2002-08-31,2.1236363636363635,2.0511666666666666,0,5.7,-0.09999999999999964,5.766666666666666,0.7999999999999998,393600.0,388933.3333333333,-1.1055276381909507,-0.11105364210730606,1.5424836015125454,87.6,-3.9000000000000057,3.3245454545454547,3.197530303030303,0.08000000000000052,-3.0,-17.0,0.0
2002-09-30,1.8655,2.0284999999999997,0,5.7,0.0,5.733333333333333,0.7000000000000002,409500.0,396366.6666666667,-5.862068965517242,0.08490089007928692,2.146064440525741,86.1,4.299999999999997,3.526,3.3650303030303026,0.2014545454545451,-79.0,-57.333333333333336,0.0
2002-10-31,2.0290909090909093,2.0060757575757577,0,5.7,0.0,5.7,0.40000000000000036,407500.0,403533.3333333333,-15.23660946437857,-0.2082664575177251,2.2135422551443185,80.6,-2.1000000000000085,3.792727272727273,3.5477575757575757,0.26672727272727315,115.0,11.0,0.0
2002-11-30,2.125263157894737,2.006618022328549,0,5.9,0.20000000000000018,5.766666666666667,0.40000000000000036,392200.0,403066.6666666667,-12.357541899441337,0.5602209932537017,3.4115039217915255,84.2,0.29999999999999716,3.568947368421053,3.6292248803827754,-0.22377990430622008,-1.0,11.666666666666666,0.0
2002-12-31,2.1961904761904765,2.116848181058708,0,6.0,0.09999999999999964,5.866666666666667,0.2999999999999998,414250.0,404650.0,-0.6118042226487486,-0.5561106769072954,2.880394484854265,86.7,-2.0999999999999943,3.416190476190476,3.592621705779601,-0.15275689223057665,-151.0,-12.333333333333334,0.0
2003-01-31,2.305238095238095,2.2088972431077694,0,5.8,-0.20000000000000018,5.8999999999999995,0.09999999999999964,395000.0,400483.3333333333,-3.3047735618115026,0.8521508823282398,3.071140654513904,82.4,-10.599999999999994,3.2990476190476192,3.4280618212197163,-0.117142857142857,108.0,-14.666666666666666,0.0
2003-02-28,2.274736842105263,2.258721804511278,0,5.9,0.10000000000000053,5.8999999999999995,0.20000000000000018,411000.0,406750.0,3.007518796992481,0.11881261912773944,3.1817124112425654,79.9,-10.799999999999997,3.1542105263157896,3.2898162071846286,-0.14483709273182965,-132.0,-58.333333333333336,0.0
2003-03-31,2.2333333333333334,2.2711027568922306,0,5.9,0.0,5.866666666666667,0.20000000000000018,427400.0,411133.3333333333,2.8887818969667745,-0.26285107477734826,2.1709435832793167,77.6,-18.10000000000001,3.141904761904762,3.1983876357560574,-0.012305764411027376,-206.0,-76.66666666666667,0.0
2003-04-30,2.336190476190476,2.281420217209691,0,6.0,0.09999999999999964,5.933333333333334,0.09999999999999964,436250.0,424883.3333333333,1.6307513104251603,-0.5956902191332047,1.0688138922369639,86.0,-7.0,2.894285714285714,3.0634670008354217,-0.24761904761904807,-62.0,-133.33333333333334,0.0
2003-05-31,2.153809523809524,2.2411111111111115,0,6.1,0.09999999999999964,6.0,0.2999999999999998,424000.0,429216.6666666667,3.667481662591676,-0.027274222988304953,0.636921435240767,92.1,-4.800000000000011,2.809047619047619,2.948412698412698,-0.08523809523809511,24.0,-81.33333333333333,0.0
2003-06-30,2.107142857142857,2.199047619047619,0,6.3,0.20000000000000018,6.133333333333333,0.5,421750.0,427333.3333333333,8.923037190082649,0.1277930569822061,-0.05887145406980876,89.7,-2.700000000000003,2.856190476190476,2.8531746031746033,0.04714285714285715,-11.0,-16.333333333333332,0.0
2003-07-31,2.5013636363636365,2.2541053391053394,0,6.2,-0.09999999999999964,6.199999999999999,0.40000000000000036,411500.0,419083.3333333333,6.606217616580312,0.5138291523584027,0.48700385655000566,90.9,2.8000000000000114,2.640909090909091,2.7687157287157285,-0.21528138528138507,-2.0,3.6666666666666665,0.0
2003-08-31,2.580952380952381,2.396486291486292,0,6.1,-0.10000000000000053,6.2,0.39999999999999947,400200.0,411150.0,1.67682926829269,-0.21817742829391973,0.37923869625795525,89.3,1.7000000000000028,2.5666666666666664,2.687922077922078,-0.07424242424242466,-31.0,-14.666666666666666,0.0
2003-09-30,2.568095238095238,2.5501370851370857,0,6.1,0.0,6.133333333333333,0.39999999999999947,395500.0,402400.0,-3.4188034188034178,0.6447447582867083,0.9407289987876988,87.7,1.6000000000000085,2.5157142857142856,2.574430014430014,-0.05095238095238086,99.0,22.0,0.0
2003-10-31,2.5427272727272725,2.563924963924964,0,6.0,-0.09999999999999964,6.066666666666666,0.2999999999999998,382000.0,392566.6666666667,-6.257668711656439,0.1231614573486528,1.2759729528664998,89.6,9.0,2.442272727272727,2.508217893217893,-0.07344155844155864,187.0,85.0,0.0
2003-11-30,2.373333333333333,2.494718614718615,0,5.8,-0.20000000000000018,5.966666666666666,-0.10000000000000053,363000.0,380166.6666666667,-7.445181030086689,0.6704970388109022,1.387033904173962,93.7,9.5,2.3577777777777778,2.4385882635882634,-0.08449494949494918,41.0,109.0,0.0
2003-12-31,2.3604545454545454,2.4255050505050506,0,5.7,-0.09999999999999964,5.833333333333333,-0.2999999999999998,358250.0,367750.0,-13.518406759203383,0.029598982575618216,1.9841883950955763,92.6,5.8999999999999915,2.328636363636364,2.3762289562289562,-0.02914141414141369,109.0,112.33333333333333,0.0
2004-01-31,2.3895,2.374429292929293,0,5.7,0.0,5.733333333333334,-0.09999999999999964,360200.0,360483.3333333333,-8.810126582278476,0.1521782957331519,1.2763588097255418,103.8,21.39999999999999,2.2915,2.3259713804713806,-0.03713636363636397,167.0,105.66666666666667,0.0
